Equation,Steps,Solution
-1(x^2) + -1x + -5 = 0,"Given equation: -1(x^2) + -1x + -5 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-1*-5 = -19
Since the discriminant is negative, the equation has complex roots.","[-1/2 - sqrt(19)*I/2, -1/2 + sqrt(19)*I/2]"
-5(x^2) + -3x + 1 = 0,"Given equation: -5(x^2) + -3x + 1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-5*1 = 29
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/10 + sqrt(29)/10 and x = -sqrt(29)/10 - 3/10","[-3/10 + sqrt(29)/10, -sqrt(29)/10 - 3/10]"
-3(x^2) + -2x + 5 = 0,"Given equation: -3(x^2) + -2x + 5 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-3*5 = 64
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/3 and x = 1","[-5/3, 1]"
5(x^2) + 2x + -1 = 0,"Given equation: 5(x^2) + 2x + -1 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*5*-1 = 24
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/5 + sqrt(6)/5 and x = -sqrt(6)/5 - 1/5","[-1/5 + sqrt(6)/5, -sqrt(6)/5 - 1/5]"
3(x^2) + -4x + 2 = 0,"Given equation: 3(x^2) + -4x + 2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*3*2 = -8
Since the discriminant is negative, the equation has complex roots.","[2/3 - sqrt(2)*I/3, 2/3 + sqrt(2)*I/3]"
-1(x^2) + 4x + 2 = 0,"Given equation: -1(x^2) + 4x + 2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-1*2 = 24
Since the discriminant is positive, the equation has two real roots.
The roots are x = 2 - sqrt(6) and x = 2 + sqrt(6)","[2 - sqrt(6), 2 + sqrt(6)]"
5(x^2) + 3x + -3 = 0,"Given equation: 5(x^2) + 3x + -3 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*5*-3 = 69
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/10 + sqrt(69)/10 and x = -sqrt(69)/10 - 3/10","[-3/10 + sqrt(69)/10, -sqrt(69)/10 - 3/10]"
3(x^2) + -3x + 4 = 0,"Given equation: 3(x^2) + -3x + 4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*3*4 = -39
Since the discriminant is negative, the equation has complex roots.","[1/2 - sqrt(39)*I/6, 1/2 + sqrt(39)*I/6]"
-5(x^2) + -1x + 2 = 0,"Given equation: -5(x^2) + -1x + 2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-5*2 = 41
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/10 + sqrt(41)/10 and x = -sqrt(41)/10 - 1/10","[-1/10 + sqrt(41)/10, -sqrt(41)/10 - 1/10]"
-1(x^2) + 1x + 2 = 0,"Given equation: -1(x^2) + 1x + 2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-1*2 = 9
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 2","[-1, 2]"
4(x^2) + 4x + -2 = 0,"Given equation: 4(x^2) + 4x + -2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*4*-2 = 48
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 + sqrt(3)/2 and x = -sqrt(3)/2 - 1/2","[-1/2 + sqrt(3)/2, -sqrt(3)/2 - 1/2]"
2(x^2) + 5x + 4 = 0,"Given equation: 2(x^2) + 5x + 4 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*2*4 = -7
Since the discriminant is negative, the equation has complex roots.","[-5/4 - sqrt(7)*I/4, -5/4 + sqrt(7)*I/4]"
1(x^2) + -3x + -5 = 0,"Given equation: 1(x^2) + -3x + -5 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*1*-5 = 29
Since the discriminant is positive, the equation has two real roots.
The roots are x = 3/2 - sqrt(29)/2 and x = 3/2 + sqrt(29)/2","[3/2 - sqrt(29)/2, 3/2 + sqrt(29)/2]"
1(x^2) + 3x + 1 = 0,"Given equation: 1(x^2) + 3x + 1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*1*1 = 5
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/2 - sqrt(5)/2 and x = -3/2 + sqrt(5)/2","[-3/2 - sqrt(5)/2, -3/2 + sqrt(5)/2]"
-2(x^2) + -2x + 1 = 0,"Given equation: -2(x^2) + -2x + 1 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-2*1 = 12
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 + sqrt(3)/2 and x = -sqrt(3)/2 - 1/2","[-1/2 + sqrt(3)/2, -sqrt(3)/2 - 1/2]"
-3(x^2) + 5x + 3 = 0,"Given equation: -3(x^2) + 5x + 3 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-3*3 = 61
Since the discriminant is positive, the equation has two real roots.
The roots are x = 5/6 - sqrt(61)/6 and x = 5/6 + sqrt(61)/6","[5/6 - sqrt(61)/6, 5/6 + sqrt(61)/6]"
3(x^2) + -3x + -4 = 0,"Given equation: 3(x^2) + -3x + -4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*3*-4 = 57
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/2 - sqrt(57)/6 and x = 1/2 + sqrt(57)/6","[1/2 - sqrt(57)/6, 1/2 + sqrt(57)/6]"
5(x^2) + 2x + 5 = 0,"Given equation: 5(x^2) + 2x + 5 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*5*5 = -96
Since the discriminant is negative, the equation has complex roots.","[-1/5 - 2*sqrt(6)*I/5, -1/5 + 2*sqrt(6)*I/5]"
-5(x^2) + 5x + -4 = 0,"Given equation: -5(x^2) + 5x + -4 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-5*-4 = -55
Since the discriminant is negative, the equation has complex roots.","[1/2 - sqrt(55)*I/10, 1/2 + sqrt(55)*I/10]"
4(x^2) + -4x + 2 = 0,"Given equation: 4(x^2) + -4x + 2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*4*2 = -16
Since the discriminant is negative, the equation has complex roots.","[1/2 - I/2, 1/2 + I/2]"
-1(x^2) + -4x + -2 = 0,"Given equation: -1(x^2) + -4x + -2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-1*-2 = 8
Since the discriminant is positive, the equation has two real roots.
The roots are x = -2 - sqrt(2) and x = -2 + sqrt(2)","[-2 - sqrt(2), -2 + sqrt(2)]"
-5(x^2) + 2x + -5 = 0,"Given equation: -5(x^2) + 2x + -5 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-5*-5 = -96
Since the discriminant is negative, the equation has complex roots.","[1/5 - 2*sqrt(6)*I/5, 1/5 + 2*sqrt(6)*I/5]"
4(x^2) + 1x + -3 = 0,"Given equation: 4(x^2) + 1x + -3 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*4*-3 = 49
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 3/4","[-1, 3/4]"
1(x^2) + 1x + -3 = 0,"Given equation: 1(x^2) + 1x + -3 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*1*-3 = 13
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 + sqrt(13)/2 and x = -sqrt(13)/2 - 1/2","[-1/2 + sqrt(13)/2, -sqrt(13)/2 - 1/2]"
-4(x^2) + -3x + -1 = 0,"Given equation: -4(x^2) + -3x + -1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-4*-1 = -7
Since the discriminant is negative, the equation has complex roots.","[-3/8 - sqrt(7)*I/8, -3/8 + sqrt(7)*I/8]"
5(x^2) + -1x + 5 = 0,"Given equation: 5(x^2) + -1x + 5 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*5*5 = -99
Since the discriminant is negative, the equation has complex roots.","[1/10 - 3*sqrt(11)*I/10, 1/10 + 3*sqrt(11)*I/10]"
5(x^2) + 1x + 2 = 0,"Given equation: 5(x^2) + 1x + 2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*5*2 = -39
Since the discriminant is negative, the equation has complex roots.","[-1/10 - sqrt(39)*I/10, -1/10 + sqrt(39)*I/10]"
-2(x^2) + 4x + 3 = 0,"Given equation: -2(x^2) + 4x + 3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-2*3 = 40
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1 - sqrt(10)/2 and x = 1 + sqrt(10)/2","[1 - sqrt(10)/2, 1 + sqrt(10)/2]"
1(x^2) + -1x + 2 = 0,"Given equation: 1(x^2) + -1x + 2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*1*2 = -7
Since the discriminant is negative, the equation has complex roots.","[1/2 - sqrt(7)*I/2, 1/2 + sqrt(7)*I/2]"
4(x^2) + 3x + -1 = 0,"Given equation: 4(x^2) + 3x + -1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*4*-1 = 25
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 1/4","[-1, 1/4]"
-1(x^2) + 2x + 1 = 0,"Given equation: -1(x^2) + 2x + 1 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-1*1 = 8
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1 - sqrt(2) and x = 1 + sqrt(2)","[1 - sqrt(2), 1 + sqrt(2)]"
-1(x^2) + -4x + 4 = 0,"Given equation: -1(x^2) + -4x + 4 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-1*4 = 32
Since the discriminant is positive, the equation has two real roots.
The roots are x = -2 + 2*sqrt(2) and x = -2*sqrt(2) - 2","[-2 + 2*sqrt(2), -2*sqrt(2) - 2]"
5(x^2) + 3x + 1 = 0,"Given equation: 5(x^2) + 3x + 1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*5*1 = -11
Since the discriminant is negative, the equation has complex roots.","[-3/10 - sqrt(11)*I/10, -3/10 + sqrt(11)*I/10]"
-2(x^2) + -1x + -2 = 0,"Given equation: -2(x^2) + -1x + -2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-2*-2 = -15
Since the discriminant is negative, the equation has complex roots.","[-1/4 - sqrt(15)*I/4, -1/4 + sqrt(15)*I/4]"
-3(x^2) + -5x + -4 = 0,"Given equation: -3(x^2) + -5x + -4 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-3*-4 = -23
Since the discriminant is negative, the equation has complex roots.","[-5/6 - sqrt(23)*I/6, -5/6 + sqrt(23)*I/6]"
2(x^2) + 5x + 4 = 0,"Given equation: 2(x^2) + 5x + 4 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*2*4 = -7
Since the discriminant is negative, the equation has complex roots.","[-5/4 - sqrt(7)*I/4, -5/4 + sqrt(7)*I/4]"
-2(x^2) + 4x + -1 = 0,"Given equation: -2(x^2) + 4x + -1 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-2*-1 = 8
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1 - sqrt(2)/2 and x = sqrt(2)/2 + 1","[1 - sqrt(2)/2, sqrt(2)/2 + 1]"
-2(x^2) + -5x + -3 = 0,"Given equation: -2(x^2) + -5x + -3 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-2*-3 = 1
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/2 and x = -1","[-3/2, -1]"
1(x^2) + 1x + 4 = 0,"Given equation: 1(x^2) + 1x + 4 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*1*4 = -15
Since the discriminant is negative, the equation has complex roots.","[-1/2 - sqrt(15)*I/2, -1/2 + sqrt(15)*I/2]"
3(x^2) + -5x + 1 = 0,"Given equation: 3(x^2) + -5x + 1 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*3*1 = 13
Since the discriminant is positive, the equation has two real roots.
The roots are x = 5/6 - sqrt(13)/6 and x = sqrt(13)/6 + 5/6","[5/6 - sqrt(13)/6, sqrt(13)/6 + 5/6]"
-5(x^2) + 4x + -3 = 0,"Given equation: -5(x^2) + 4x + -3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-5*-3 = -44
Since the discriminant is negative, the equation has complex roots.","[2/5 - sqrt(11)*I/5, 2/5 + sqrt(11)*I/5]"
-1(x^2) + -5x + -4 = 0,"Given equation: -1(x^2) + -5x + -4 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-1*-4 = 9
Since the discriminant is positive, the equation has two real roots.
The roots are x = -4 and x = -1","[-4, -1]"
-5(x^2) + -1x + 1 = 0,"Given equation: -5(x^2) + -1x + 1 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-5*1 = 21
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/10 + sqrt(21)/10 and x = -sqrt(21)/10 - 1/10","[-1/10 + sqrt(21)/10, -sqrt(21)/10 - 1/10]"
3(x^2) + -2x + -4 = 0,"Given equation: 3(x^2) + -2x + -4 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*3*-4 = 52
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/3 - sqrt(13)/3 and x = 1/3 + sqrt(13)/3","[1/3 - sqrt(13)/3, 1/3 + sqrt(13)/3]"
-2(x^2) + -3x + -1 = 0,"Given equation: -2(x^2) + -3x + -1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-2*-1 = 1
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = -1/2","[-1, -1/2]"
-1(x^2) + -5x + 1 = 0,"Given equation: -1(x^2) + -5x + 1 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-1*1 = 29
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/2 + sqrt(29)/2 and x = -sqrt(29)/2 - 5/2","[-5/2 + sqrt(29)/2, -sqrt(29)/2 - 5/2]"
-4(x^2) + -4x + -1 = 0,"Given equation: -4(x^2) + -4x + -1 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-4*-1 = 0
Since the discriminant is zero, the equation has one real root.
The root is x = -1/2",[-1/2]
-2(x^2) + 1x + -1 = 0,"Given equation: -2(x^2) + 1x + -1 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-2*-1 = -7
Since the discriminant is negative, the equation has complex roots.","[1/4 - sqrt(7)*I/4, 1/4 + sqrt(7)*I/4]"
-3(x^2) + -4x + 2 = 0,"Given equation: -3(x^2) + -4x + 2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-3*2 = 40
Since the discriminant is positive, the equation has two real roots.
The roots are x = -2/3 + sqrt(10)/3 and x = -sqrt(10)/3 - 2/3","[-2/3 + sqrt(10)/3, -sqrt(10)/3 - 2/3]"
5(x^2) + 3x + -5 = 0,"Given equation: 5(x^2) + 3x + -5 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*5*-5 = 109
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/10 + sqrt(109)/10 and x = -sqrt(109)/10 - 3/10","[-3/10 + sqrt(109)/10, -sqrt(109)/10 - 3/10]"
-3(x^2) + 5x + 2 = 0,"Given equation: -3(x^2) + 5x + 2 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-3*2 = 49
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/3 and x = 2","[-1/3, 2]"
-2(x^2) + 1x + 1 = 0,"Given equation: -2(x^2) + 1x + 1 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-2*1 = 9
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 and x = 1","[-1/2, 1]"
5(x^2) + 3x + 1 = 0,"Given equation: 5(x^2) + 3x + 1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*5*1 = -11
Since the discriminant is negative, the equation has complex roots.","[-3/10 - sqrt(11)*I/10, -3/10 + sqrt(11)*I/10]"
-1(x^2) + 3x + 1 = 0,"Given equation: -1(x^2) + 3x + 1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-1*1 = 13
Since the discriminant is positive, the equation has two real roots.
The roots are x = 3/2 - sqrt(13)/2 and x = 3/2 + sqrt(13)/2","[3/2 - sqrt(13)/2, 3/2 + sqrt(13)/2]"
-4(x^2) + 3x + -4 = 0,"Given equation: -4(x^2) + 3x + -4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-4*-4 = -55
Since the discriminant is negative, the equation has complex roots.","[3/8 - sqrt(55)*I/8, 3/8 + sqrt(55)*I/8]"
1(x^2) + -1x + 3 = 0,"Given equation: 1(x^2) + -1x + 3 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*1*3 = -11
Since the discriminant is negative, the equation has complex roots.","[1/2 - sqrt(11)*I/2, 1/2 + sqrt(11)*I/2]"
2(x^2) + 5x + 5 = 0,"Given equation: 2(x^2) + 5x + 5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*2*5 = -15
Since the discriminant is negative, the equation has complex roots.","[-5/4 - sqrt(15)*I/4, -5/4 + sqrt(15)*I/4]"
-2(x^2) + -3x + 3 = 0,"Given equation: -2(x^2) + -3x + 3 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-2*3 = 33
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/4 + sqrt(33)/4 and x = -sqrt(33)/4 - 3/4","[-3/4 + sqrt(33)/4, -sqrt(33)/4 - 3/4]"
3(x^2) + 5x + -2 = 0,"Given equation: 3(x^2) + 5x + -2 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*3*-2 = 49
Since the discriminant is positive, the equation has two real roots.
The roots are x = -2 and x = 1/3","[-2, 1/3]"
1(x^2) + 4x + -2 = 0,"Given equation: 1(x^2) + 4x + -2 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*1*-2 = 24
Since the discriminant is positive, the equation has two real roots.
The roots are x = -2 + sqrt(6) and x = -sqrt(6) - 2","[-2 + sqrt(6), -sqrt(6) - 2]"
2(x^2) + -1x + 5 = 0,"Given equation: 2(x^2) + -1x + 5 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*2*5 = -39
Since the discriminant is negative, the equation has complex roots.","[1/4 - sqrt(39)*I/4, 1/4 + sqrt(39)*I/4]"
1(x^2) + 3x + 2 = 0,"Given equation: 1(x^2) + 3x + 2 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*1*2 = 1
Since the discriminant is positive, the equation has two real roots.
The roots are x = -2 and x = -1","[-2, -1]"
5(x^2) + -3x + -4 = 0,"Given equation: 5(x^2) + -3x + -4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*5*-4 = 89
Since the discriminant is positive, the equation has two real roots.
The roots are x = 3/10 - sqrt(89)/10 and x = 3/10 + sqrt(89)/10","[3/10 - sqrt(89)/10, 3/10 + sqrt(89)/10]"
4(x^2) + -2x + 1 = 0,"Given equation: 4(x^2) + -2x + 1 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*4*1 = -12
Since the discriminant is negative, the equation has complex roots.","[1/4 - sqrt(3)*I/4, 1/4 + sqrt(3)*I/4]"
-4(x^2) + -3x + -3 = 0,"Given equation: -4(x^2) + -3x + -3 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-4*-3 = -39
Since the discriminant is negative, the equation has complex roots.","[-3/8 - sqrt(39)*I/8, -3/8 + sqrt(39)*I/8]"
4(x^2) + -4x + 3 = 0,"Given equation: 4(x^2) + -4x + 3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*4*3 = -32
Since the discriminant is negative, the equation has complex roots.","[1/2 - sqrt(2)*I/2, 1/2 + sqrt(2)*I/2]"
-1(x^2) + 4x + 5 = 0,"Given equation: -1(x^2) + 4x + 5 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-1*5 = 36
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 5","[-1, 5]"
-1(x^2) + -5x + 4 = 0,"Given equation: -1(x^2) + -5x + 4 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-1*4 = 41
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/2 + sqrt(41)/2 and x = -sqrt(41)/2 - 5/2","[-5/2 + sqrt(41)/2, -sqrt(41)/2 - 5/2]"
-3(x^2) + 5x + -2 = 0,"Given equation: -3(x^2) + 5x + -2 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-3*-2 = 1
Since the discriminant is positive, the equation has two real roots.
The roots are x = 2/3 and x = 1","[2/3, 1]"
3(x^2) + 1x + 5 = 0,"Given equation: 3(x^2) + 1x + 5 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*3*5 = -59
Since the discriminant is negative, the equation has complex roots.","[-1/6 - sqrt(59)*I/6, -1/6 + sqrt(59)*I/6]"
-2(x^2) + 5x + -5 = 0,"Given equation: -2(x^2) + 5x + -5 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-2*-5 = -15
Since the discriminant is negative, the equation has complex roots.","[5/4 - sqrt(15)*I/4, 5/4 + sqrt(15)*I/4]"
-5(x^2) + 2x + 2 = 0,"Given equation: -5(x^2) + 2x + 2 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-5*2 = 44
Since the discriminant is positive, the equation has two real roots.
The roots are x = 1/5 - sqrt(11)/5 and x = 1/5 + sqrt(11)/5","[1/5 - sqrt(11)/5, 1/5 + sqrt(11)/5]"
-3(x^2) + -5x + -1 = 0,"Given equation: -3(x^2) + -5x + -1 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-3*-1 = 13
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/6 - sqrt(13)/6 and x = -5/6 + sqrt(13)/6","[-5/6 - sqrt(13)/6, -5/6 + sqrt(13)/6]"
5(x^2) + 2x + 1 = 0,"Given equation: 5(x^2) + 2x + 1 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*5*1 = -16
Since the discriminant is negative, the equation has complex roots.","[-1/5 - 2*I/5, -1/5 + 2*I/5]"
-3(x^2) + -1x + 2 = 0,"Given equation: -3(x^2) + -1x + 2 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-3*2 = 25
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 2/3","[-1, 2/3]"
-2(x^2) + -2x + 1 = 0,"Given equation: -2(x^2) + -2x + 1 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-2*1 = 12
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 + sqrt(3)/2 and x = -sqrt(3)/2 - 1/2","[-1/2 + sqrt(3)/2, -sqrt(3)/2 - 1/2]"
-5(x^2) + -4x + -4 = 0,"Given equation: -5(x^2) + -4x + -4 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-5*-4 = -64
Since the discriminant is negative, the equation has complex roots.","[-2/5 - 4*I/5, -2/5 + 4*I/5]"
-1(x^2) + 1x + -4 = 0,"Given equation: -1(x^2) + 1x + -4 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-1*-4 = -15
Since the discriminant is negative, the equation has complex roots.","[1/2 - sqrt(15)*I/2, 1/2 + sqrt(15)*I/2]"
1(x^2) + -4x + 5 = 0,"Given equation: 1(x^2) + -4x + 5 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*1*5 = -4
Since the discriminant is negative, the equation has complex roots.","[2 - I, 2 + I]"
-1(x^2) + -2x + 3 = 0,"Given equation: -1(x^2) + -2x + 3 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*-1*3 = 16
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3 and x = 1","[-3, 1]"
3(x^2) + 4x + 4 = 0,"Given equation: 3(x^2) + 4x + 4 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*3*4 = -32
Since the discriminant is negative, the equation has complex roots.","[-2/3 - 2*sqrt(2)*I/3, -2/3 + 2*sqrt(2)*I/3]"
-3(x^2) + -3x + 4 = 0,"Given equation: -3(x^2) + -3x + 4 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*-3*4 = 57
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1/2 + sqrt(57)/6 and x = -sqrt(57)/6 - 1/2","[-1/2 + sqrt(57)/6, -sqrt(57)/6 - 1/2]"
-4(x^2) + -5x + 2 = 0,"Given equation: -4(x^2) + -5x + 2 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-4*2 = 57
Since the discriminant is positive, the equation has two real roots.
The roots are x = -5/8 + sqrt(57)/8 and x = -sqrt(57)/8 - 5/8","[-5/8 + sqrt(57)/8, -sqrt(57)/8 - 5/8]"
-4(x^2) + -1x + -3 = 0,"Given equation: -4(x^2) + -1x + -3 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-4*-3 = -47
Since the discriminant is negative, the equation has complex roots.","[-1/8 - sqrt(47)*I/8, -1/8 + sqrt(47)*I/8]"
5(x^2) + -4x + -3 = 0,"Given equation: 5(x^2) + -4x + -3 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*5*-3 = 76
Since the discriminant is positive, the equation has two real roots.
The roots are x = 2/5 - sqrt(19)/5 and x = 2/5 + sqrt(19)/5","[2/5 - sqrt(19)/5, 2/5 + sqrt(19)/5]"
-3(x^2) + 5x + 1 = 0,"Given equation: -3(x^2) + 5x + 1 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-3*1 = 37
Since the discriminant is positive, the equation has two real roots.
The roots are x = 5/6 - sqrt(37)/6 and x = 5/6 + sqrt(37)/6","[5/6 - sqrt(37)/6, 5/6 + sqrt(37)/6]"
5(x^2) + 3x + -1 = 0,"Given equation: 5(x^2) + 3x + -1 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*5*-1 = 29
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/10 + sqrt(29)/10 and x = -sqrt(29)/10 - 3/10","[-3/10 + sqrt(29)/10, -sqrt(29)/10 - 3/10]"
4(x^2) + 3x + -2 = 0,"Given equation: 4(x^2) + 3x + -2 = 0
Calculate discriminant: b^2 - 4ac = 9 - 4*4*-2 = 41
Since the discriminant is positive, the equation has two real roots.
The roots are x = -3/8 + sqrt(41)/8 and x = -sqrt(41)/8 - 3/8","[-3/8 + sqrt(41)/8, -sqrt(41)/8 - 3/8]"
2(x^2) + 2x + 3 = 0,"Given equation: 2(x^2) + 2x + 3 = 0
Calculate discriminant: b^2 - 4ac = 4 - 4*2*3 = -20
Since the discriminant is negative, the equation has complex roots.","[-1/2 - sqrt(5)*I/2, -1/2 + sqrt(5)*I/2]"
-3(x^2) + 1x + 4 = 0,"Given equation: -3(x^2) + 1x + 4 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-3*4 = 49
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = 4/3","[-1, 4/3]"
-5(x^2) + 1x + -3 = 0,"Given equation: -5(x^2) + 1x + -3 = 0
Calculate discriminant: b^2 - 4ac = 1 - 4*-5*-3 = -59
Since the discriminant is negative, the equation has complex roots.","[1/10 - sqrt(59)*I/10, 1/10 + sqrt(59)*I/10]"
-3(x^2) + -4x + -1 = 0,"Given equation: -3(x^2) + -4x + -1 = 0
Calculate discriminant: b^2 - 4ac = 16 - 4*-3*-1 = 4
Since the discriminant is positive, the equation has two real roots.
The roots are x = -1 and x = -1/3","[-1, -1/3]"
-2(x^2) + 5x + 2 = 0,"Given equation: -2(x^2) + 5x + 2 = 0
Calculate discriminant: b^2 - 4ac = 25 - 4*-2*2 = 41
Since the discriminant is positive, the equation has two real roots.
The roots are x = 5/4 - sqrt(41)/4 and x = 5/4 + sqrt(41)/4","[5/4 - sqrt(41)/4, 5/4 + sqrt(41)/4]"
